GEO_ID,NAME,NAMELSAD,Store,Population,Per_100k
53,Adams,Adams County,14,102180,13.70131141
19,Allegheny,Allegheny County,131,1225365,10.69069216
54,Armstrong,Armstrong County,11,66486,16.54483651
10,Beaver,Beaver County,27,167429,16.12623858
26,Bedford,Bedford County,11,48325,22.76254527
14,Berks,Berks County,40,414812,9.642922577
2,Blair,Blair County,21,124650,16.84717208
18,Bradford,Bradford County,15,60770,24.68323186
15,Bucks,Bucks County,27,626399,4.310351709
8,Butler,Butler County,24,186847,12.84473393
30,Cambria,Cambria County,29,134732,21.52421103
61,Cameron,Cameron County,1,4677,21.38122728
55,Carbon,Carbon County,9,63594,14.15227852
28,Centre,Centre County,7,161464,4.335331715
34,Chester,Chester County,19,516312,3.679945459
1,Clarion,Clarion County,13,38513,33.75483603
38,Clearfield,Clearfield County,19,80596,23.57437094
25,Clinton,Clinton County,7,39233,17.8421227
56,Columbia,Columbia County,11,66420,16.56127672
39,Crawford,Crawford County,20,86257,23.18652399
4,Cumberland,Cumberland County,22,248506,8.85290496
57,Dauphin,Dauphin County,26,273707,9.499209008
31,Delaware,Delaware County,35,563402,6.212260517
3,Elk,Elk County,6,30480,19.68503937
27,Erie,Erie County,44,276207,15.93008142
58,Fayette,Fayette County,23,132733,17.32801941
37,Forest,Forest County,1,7321,13.65933616
32,Franklin,Franklin County,27,153851,17.54944719
51,Fulton,Fulton County,3,14640,20.49180328
5,Greene,Greene County,8,37197,21.50711079
40,Huntingdon,Huntingdon County,7,45634,15.33943989
33,Indiana,Indiana County,14,86364,16.21045806
29,Jefferson,Jefferson County,10,44073,22.68962857
63,Juniata,Juniata County,5,24863,20.11020392
24,Lackawanna,Lackawanna County,26,211321,12.30355715
42,Lancaster,Lancaster County,35,538500,6.499535747
16,Lawrence,Lawrence County,19,87294,21.76552799
47,Lebanon,Lebanon County,12,138863,8.641610796
17,Lehigh,Lehigh County,24,363147,6.608893919
59,Luzerne,Luzerne County,43,316383,13.59112215
35,Lycoming,Lycoming County,14,115248,12.14771623
49,McKean,McKean County,10,41883,23.87603562
7,Mercer,Mercer County,23,112913,20.36966514
41,Mifflin,Mifflin County,6,46342,12.94721851
21,Monroe,Monroe County,17,166098,10.23492155
46,Montgomery,Montgomery County,25,821725,3.042380358
52,Montour,Montour County,1,18343,5.451670937
62,Northampton,Northampton County,25,302294,8.270094676
48,Northumberland,Northumberland County,14,92541,15.12842956
12,Perry,Perry County,10,45820,21.82453077
67,Philadelphia,Philadelphia County,104,1567872,6.633194546
64,Pike,Pike County,7,55562,12.59853857
36,Potter,Potter County,5,16885,29.61208173
45,Schuylkill,Schuylkill County,25,143573,17.41274474
11,Snyder,Snyder County,9,40468,22.23979441
60,Somerset,Somerset County,22,75061,29.30949494
43,Sullivan,Sullivan County,2,6137,32.58921297
20,Susquehanna,Susquehanna County,9,40862,22.02535363
13,Tioga,Tioga County,11,41467,26.52711795
65,Union,Union County,7,45565,15.36266872
50,Venango,Venango County,14,52582,26.62508083
66,Warren,Warren County,10,40025,24.98438476
9,Washington,Washington County,28,207981,13.46276823
23,Wayne,Wayne County,10,50710,19.71997634
6,Westmoreland,Westmoreland County,54,355458,15.19166821
22,Wyoming,Wyoming County,5,27521,18.16794448
44,York,York County,45,443744,10.14098219
