name,address1,city,state,zip,full_address,g_lat,g_lon,g_country,g_state,g_county,g_city,g_postcode,g_street,g_number,g_confidence,g_formatted,g_quality
Dollar General # 4557,12259 Route 30,North Huntingdon,PA,15642,"12259 Route 30 North Huntingdon, PA 15642",40.31875,-79.68272899999999,United States of America,Pennsylvania,,Irwin,,Old Rte 30,,5,"Old Rte 30, Irwin, PA, United States of America",street
Dollar General # 18393,205 Highland Ave,Herminie,PA,15637,"205 Highland Ave Herminie, PA 15637",40.2614521,-79.7158927,USA,Pennsylvania,Westmoreland County,Sewickley Township,15637,Highland Avenue,205,10,"205 Highland Avenue, Sewickley Township, PA 15637, United States of America",number
Dollar General # 4384,1701 Lincoln Hwy,North Versailles,PA,15137,"1701 Lincoln Hwy North Versailles, PA 15137",40.369904,-79.78418499999999,USA,Pennsylvania,Allegheny County,,15137,Lincoln Highway,1701,10,"1701 Lincoln Highway, North Versailles, PA 15137, United States of America",number
Dollar General # 8740,4500 Broadway Blvd,Monroeville,PA,15146,"4500 Broadway Blvd Monroeville, PA 15146",40.3905838,-79.7660235,USA,Pennsylvania,Allegheny County,Monroeville,15146,Broadway Boulevard,,9,"Broadway Boulevard, Monroeville, PA 15146, United States of America",street
Dollar General # 12330,700 Clay Avenue,Jeannette,PA,15644,"700 Clay Avenue Jeannette, PA 15644",40.32892,-79.62099600000001,USA,Pennsylvania,Westmoreland County,Jeannette,15644,Clay Avenue,700,10,"700 Clay Avenue, Jeannette, PA 15644, United States of America",number
Dollar General # 7091,5724 Smithfield St,Mckeesport,PA,15135,"5724 Smithfield St Mckeesport, PA 15135",40.310934,-79.825986,United States of America,Pennsylvania,,McKeesport,,Smithfield St,,8,"Smithfield St, McKeesport, PA, United States of America",street
Dollar General # 19273,3600 Walnut St,Mckeesport,PA,15132,"3600 Walnut St Mckeesport, PA 15132",40.3306174,-79.8432705,USA,Pennsylvania,Allegheny County,McKeesport,15132,Walnut Street,3600,10,"3600 Walnut Street, McKeesport, PA 15132, United States of America",number
Dollar General # 13123,100 Westinghouse Avenue,Wilmerding,PA,15148,"100 Westinghouse Avenue Wilmerding, PA 15148",40.3893484,-79.81075749999999,USA,Pennsylvania,Allegheny County,Wilmerding,15148,Westinghouse Avenue,,9,"Westinghouse Avenue, Wilmerding, PA 15148, United States of America",street
Dollar General # 17870,420 Scenery Dr,Elizabeth,PA,15037,"420 Scenery Dr Elizabeth, PA 15037",40.2760641,-79.8379717,USA,Pennsylvania,Allegheny County,Elizabeth Township,15037,Scenery Drive,420,10,"420 Scenery Drive, Elizabeth Township, PA 15037, United States of America",number
Dollar General # 10875,5032 William Penn Hwy,Monroeville,PA,15146,"5032 William Penn Hwy Monroeville, PA 15146",40.4385078,-79.7706657,USA,Pennsylvania,Allegheny County,Monroeville,15146,William Penn Highway,,9,"William Penn Highway, Monroeville, PA 15146, United States of America",street
Dollar General # 14967,740 Lysle Blvd.,Mckeesport,PA,15132,"740 Lysle Blvd. Mckeesport, PA 15132",40.3523113,-79.8576942,USA,Pennsylvania,Allegheny County,McKeesport,15132,Lysle Boulevard,740,10,"740 Lysle Boulevard, McKeesport, PA 15132, United States of America",number
Dollar General # 18349,4590 Route 136,Greensburg,PA,15601,"4590 Route 136 Greensburg, PA 15601",40.287976,-79.5796,United States of America,Pennsylvania,,Greensburg,,State Rte 136,,6,"State Rte 136, Greensburg, PA, United States of America",street
Dollar General # 7927,120 Penn Avenue,Turtle Creek,PA,15145,"120 Penn Avenue Turtle Creek, PA 15145",40.4059663,-79.82624180000001,USA,Pennsylvania,Allegheny County,Turtle Creek,15145,Penn Avenue,120,9,"Dollar General, 120 Penn Avenue, Turtle Creek, PA 15145, United States of America",number
Dollar General # 3606,1830 Pennsylvania Ave,West Mifflin,PA,15122,"1830 Pennsylvania Ave West Mifflin, PA 15122",40.3621753,-79.86232219999999,USA,Pennsylvania,Allegheny County,West Mifflin,15122,Pennsylvania Avenue,1830,10,"1830 Pennsylvania Avenue, West Mifflin, PA 15122, United States of America",number
Dollar General # 7214,1515 Washington Blvd,Mckeesport,PA,15133,"1515 Washington Blvd Mckeesport, PA 15133",40.335138,-79.88112599999999,United States of America,Pennsylvania,,McKeesport,,Washington Blvd,,8,"Washington Blvd, McKeesport, PA, United States of America",street
Dollar General # 2037,160 Mt Pleasant Road,West Newton,PA,15089,"160 Mt Pleasant Road West Newton, PA 15089",40.204637,-79.75761799999999,United States of America,Pennsylvania,,West Newton,,Mt Pleasant Rd,,8,"Mt Pleasant Rd, West Newton, PA, United States of America",street
Dollar General # 4355,351 Hoffman Blvd,Duquesne,PA,15110,"351 Hoffman Blvd Duquesne, PA 15110",40.3849906,-79.862662,USA,Pennsylvania,Allegheny County,Duquesne,15110,Hoffman Boulevard,,9,"Hoffman Boulevard, Duquesne, PA 15110, United States of America",street
Dollar General # 3043,430 Route 22,Delmont,PA,15626,"430 Route 22 Delmont, PA 15626",40.399951,-79.58332299999999,United States of America,Pennsylvania,,Delmont,,US Hwy 22,,4,"US Hwy 22, Delmont, PA, United States of America",street
Dollar General # 10426,995 Greensburg Pike,East Pittsburgh,PA,15112,"995 Greensburg Pike East Pittsburgh, PA 15112",40.415331,-79.83853999999999,United States of America,Pennsylvania,,East Pittsburgh,,Greensburg Pike,,8,"Greensburg Pike, East Pittsburgh, PA, United States of America",street
Dollar General # 9002,28 Monongahela Ave,Glassport,PA,15045,"28 Monongahela Ave Glassport, PA 15045",40.336003,-79.89054659999999,USA,Pennsylvania,Allegheny County,Glassport,15045,Monongahela Avenue,28,10,"28 Monongahela Avenue, Glassport, PA 15045, United States of America",number
