name,location,address1,city,state,zip,full_address
Dollar Tree #1096,Shoppes on Broadhead,2646 Brodhead Road Suite 4,Aliquippa,PA,15001,"2646 Brodhead Road Suite 4 Aliquippa, PA 15001"
Dollar Tree #5914,Former CVS,1202 West Liberty St Unit EL and EZ,Allentown,PA,18102,"1202 West Liberty St Unit EL and EZ Allentown, PA 18102"
Dollar Tree #1658,Parkway Shopping Center,1539 Lehigh St,Allentown,PA,18103,"1539 Lehigh St Allentown, PA 18103"
Dollar Tree #1552,Village West Shopping Center,3100 Tilghman Street..,Allentown,PA,18104,"3100 Tilghman Street.. Allentown, PA 18104"
Dollar Tree #7710,Tilghman Square Square,4632 Broadway,Allentown,PA,18104,"4632 Broadway Allentown, PA 18104"
Dollar Tree #4535,Allentown,701 Hanover Avenue,Allentown,PA,18109,"701 Hanover Avenue Allentown, PA 18109"
Dollar Tree #4790,Duncan Manor Shopping Center,1701 Duncan Ave Ste #10,Allison Park,PA,15101,"1701 Duncan Ave Ste #10 Allison Park, PA 15101"
Dollar Tree #7202,Frmr CVS,2860 Wildwood Road EXT,Allison Park,PA,15101,"2860 Wildwood Road EXT Allison Park, PA 15101"
Dollar Tree #2163,Pleasant Valley Shopping Cente,3415 Pleasant Valley Blvd.,Altoona,PA,16602,"3415 Pleasant Valley Blvd. Altoona, PA 16602"
Dollar Tree #7602,Former Drug Store,700 Valley View Blvd,Altoona,PA,16602,"700 Valley View Blvd Altoona, PA 16602"
Dollar Tree #6170,Frmr Market,129 North Plaza,Apollo,PA,15613,"129 North Plaza Apollo, PA 15613"
Dollar Tree #4141,Audubon Village Shopping Cente,2826 Audubon Village Dr.,Audubon,PA,19403,"2826 Audubon Village Dr. Audubon, PA 19403"
Dollar Tree #207,Pennsylvania Northern Lights,1610 West State Street,Baden,PA,15005,"1610 West State Street Baden, PA 15005"
Dollar Tree #1393,The Shoppes @ Crossroads,3578 Route 611 Suite 205,Bartonsville,PA,18321,"3578 Route 611 Suite 205 Bartonsville, PA 18321"
Dollar Tree #2322,Chippewa Towne Center,260 Chippewa Towne Ctr.,Beaver Falls,PA,15010,"260 Chippewa Towne Ctr. Beaver Falls, PA 15010"
Dollar Tree #547,TriCounty Plaza,800 Tri-County Plaza Unit# 310,Belle Vernon,PA,15012,"800 Tri-County Plaza Unit# 310 Belle Vernon, PA 15012"
Dollar Tree #1614,Street Road Plaza,2639 Street Rd,Bensalem,PA,19020,"2639 Street Rd Bensalem, PA 19020"
