name,location,address1,city,state,zip,full_address
Family Dollar #6048,,929 Easton Rd,Abington,PA,19001,"929 Easton Rd Abington, PA 19001"
Family Dollar #11212,,100 E State Street,Albion,PA,16401,"100 E State Street Albion, PA 16401"
Family Dollar #11817,,123 N 9th Street,Allentown,PA,18102,"123 N 9th Street Allentown, PA 18102"
Family Dollar #12035,,1735 South 4th Street,Allentown,PA,18103,"1735 South 4th Street Allentown, PA 18103"
Family Dollar #1051,,200 E Pleasant Valley Blvd,Altoona,PA,16602,"200 E Pleasant Valley Blvd Altoona, PA 16602"
Family Dollar #2589,,107 North Plaza,Apollo,PA,15613,"107 North Plaza Apollo, PA 15613"
Family Dollar #6575,,43 S Main St,Ashley,PA,18706,"43 S Main St Ashley, PA 18706"
Family Dollar #1845,,1526 7th Ave,Beaver Falls,PA,15010,"1526 7th Ave Beaver Falls, PA 15010"
Family Dollar #5518,,607 Lincoln Ave,Bellevue,PA,15202,"607 Lincoln Ave Bellevue, PA 15202"
Family Dollar #719,,834 Main Street,Bentleyville,PA,15314,"834 Main Street Bentleyville, PA 15314"
Family Dollar #4602,,1729 W Front Street,Berwick,PA,18603,"1729 W Front Street Berwick, PA 18603"
Family Dollar #9353,,1319 West Broad St,Bethlehem,PA,18018,"1319 West Broad St Bethlehem, PA 18018"
Family Dollar #8792,,3460 Biglerville Rd.,Biglerville,PA,17307,"3460 Biglerville Rd. Biglerville, PA 17307"
Family Dollar #11213,,126 East Main Street,Big Run,PA,15715,"126 East Main Street Big Run, PA 15715"
Family Dollar #4079,,248 Pa-940,Blakeslee,PA,18610,"248 Pa-940 Blakeslee, PA 18610"
Family Dollar #7584,,1002 Atkinson Way,Boswell,PA,15531,"1002 Atkinson Way Boswell, PA 15531"
Family Dollar #6347,,401 6th St(Pittsburgh),Braddock,PA,15104,"401 6th St(Pittsburgh) Braddock, PA 15104"
Family Dollar #10736,,5150 Railroad Avenue,Broad Top City,PA,16621,"5150 Railroad Avenue Broad Top City, PA 16621"
Family Dollar #6533,,235 Allegheny Rd,Brookville,PA,15825,"235 Allegheny Rd Brookville, PA 15825"
Family Dollar #1671,,1402 Main St,Burgettstown,PA,15021,"1402 Main St Burgettstown, PA 15021"
Family Dollar #11826,,362 E High Street,Carlisle,PA,17013,"362 E High Street Carlisle, PA 17013"
Family Dollar #8446,,1706 Spring Rd.,Carlisle,PA,17013,"1706 Spring Rd. Carlisle, PA 17013"
Family Dollar #4708,,300 Broadway St,Carnegie,PA,15106,"300 Broadway St Carnegie, PA 15106"
Family Dollar #10409,,3835 Lincoln Way West,Chambersburg,PA,17202,"3835 Lincoln Way West Chambersburg, PA 17202"
Family Dollar #11742,,1500 Edgmont Avenue,Chester,PA,19013,"1500 Edgmont Avenue Chester, PA 19013"
Family Dollar #1707,,1915 W 9th Street,Chester,PA,19013,"1915 W 9th Street Chester, PA 19013"
Family Dollar #6601,,3100 W 9th St,Chester,PA,19013,"3100 W 9th St Chester, PA 19013"
Family Dollar #7304,,614 Avenue Of The States,Chester,PA,19013,"614 Avenue Of The States Chester, PA 19013"
