_ID,NAME,NAMELSAD,Number_of_DS,Population,,,2016
53,Adams,Adams County,14,102180,Adams County, Pennsylvania,"102,180"
19,Allegheny,Allegheny County,131,1225365,Allegheny County, Pennsylvania,"1,225,365"
54,Armstrong,Armstrong County,11,66486,Armstrong County, Pennsylvania,"66,486"
10,Beaver,Beaver County,27,167429,Beaver County, Pennsylvania,"167,429"
26,Bedford,Bedford County,11,48325,Bedford County, Pennsylvania,"48,325"
14,Berks,Berks County,40,414812,Berks County, Pennsylvania,"414,812"
2,Blair,Blair County,21,124650,Blair County, Pennsylvania,"124,650"
18,Bradford,Bradford County,15,60770,Bradford County, Pennsylvania,"60,770"
15,Bucks,Bucks County,27,626399,Bucks County, Pennsylvania,"626,399"
8,Butler,Butler County,24,186847,Butler County, Pennsylvania,"186,847"
30,Cambria,Cambria County,29,134732,Cambria County, Pennsylvania,"134,732"
61,Cameron,Cameron County,1,4677,Cameron County, Pennsylvania,"4,677"
55,Carbon,Carbon County,9,63594,Carbon County, Pennsylvania,"63,594"
28,Centre,Centre County,7,161464,Centre County, Pennsylvania,"161,464"
34,Chester,Chester County,19,516312,Chester County, Pennsylvania,"516,312"
1,Clarion,Clarion County,13,38513,Clarion County, Pennsylvania,"38,513"
38,Clearfield,Clearfield County,19,80596,Clearfield County, Pennsylvania,"80,596"
25,Clinton,Clinton County,7,39233,Clinton County, Pennsylvania,"39,233"
56,Columbia,Columbia County,11,66420,Columbia County, Pennsylvania,"66,420"
39,Crawford,Crawford County,20,86257,Crawford County, Pennsylvania,"86,257"
4,Cumberland,Cumberland County,22,248506,Cumberland County, Pennsylvania,"248,506"
57,Dauphin,Dauphin County,26,273707,Dauphin County, Pennsylvania,"273,707"
31,Delaware,Delaware County,35,563402,Delaware County, Pennsylvania,"563,402"
3,Elk,Elk County,6,30480,Elk County, Pennsylvania,"30,480"
27,Erie,Erie County,44,276207,Erie County, Pennsylvania,"276,207"
58,Fayette,Fayette County,23,132733,Fayette County, Pennsylvania,"132,733"
37,Forest,Forest County,1,7321,Forest County, Pennsylvania,"7,321"
32,Franklin,Franklin County,27,153851,Franklin County, Pennsylvania,"153,851"
51,Fulton,Fulton County,3,14640,Fulton County, Pennsylvania,"14,640"
5,Greene,Greene County,8,37197,Greene County, Pennsylvania,"37,197"
40,Huntingdon,Huntingdon County,7,45634,Huntingdon County, Pennsylvania,"45,634"
33,Indiana,Indiana County,14,86364,Indiana County, Pennsylvania,"86,364"
29,Jefferson,Jefferson County,10,44073,Jefferson County, Pennsylvania,"44,073"
63,Juniata,Juniata County,5,24863,Juniata County, Pennsylvania,"24,863"
24,Lackawanna,Lackawanna County,26,211321,Lackawanna County, Pennsylvania,"211,321"
42,Lancaster,Lancaster County,35,538500,Lancaster County, Pennsylvania,"538,500"
16,Lawrence,Lawrence County,19,87294,Lawrence County, Pennsylvania,"87,294"
47,Lebanon,Lebanon County,12,138863,Lebanon County, Pennsylvania,"138,863"
17,Lehigh,Lehigh County,24,363147,Lehigh County, Pennsylvania,"363,147"
59,Luzerne,Luzerne County,43,316383,Luzerne County, Pennsylvania,"316,383"
35,Lycoming,Lycoming County,14,115248,Lycoming County, Pennsylvania,"115,248"
49,McKean,McKean County,10,41883,McKean County, Pennsylvania,"41,883"
7,Mercer,Mercer County,23,112913,Mercer County, Pennsylvania,"112,913"
41,Mifflin,Mifflin County,6,46342,Mifflin County, Pennsylvania,"46,342"
21,Monroe,Monroe County,17,166098,Monroe County, Pennsylvania,"166,098"
46,Montgomery,Montgomery County,25,821725,Montgomery County, Pennsylvania,"821,725"
52,Montour,Montour County,1,18343,Montour County, Pennsylvania,"18,343"
62,Northampton,Northampton County,25,302294,Northampton County, Pennsylvania,"302,294"
48,Northumberland,Northumberland County,14,92541,Northumberland County, Pennsylvania,"92,541"
12,Perry,Perry County,10,45820,Perry County, Pennsylvania,"45,820"
67,Philadelphia,Philadelphia County,104,1567872,Philadelphia County, Pennsylvania,"1,567,872"
64,Pike,Pike County,7,55562,Pike County, Pennsylvania,"55,562"
36,Potter,Potter County,5,16885,Potter County, Pennsylvania,"16,885"
45,Schuylkill,Schuylkill County,25,143573,Schuylkill County, Pennsylvania,"143,573"
11,Snyder,Snyder County,9,40468,Snyder County, Pennsylvania,"40,468"
60,Somerset,Somerset County,22,75061,Somerset County, Pennsylvania,"75,061"
43,Sullivan,Sullivan County,2,6137,Sullivan County, Pennsylvania,"6,137"
20,Susquehanna,Susquehanna County,9,40862,Susquehanna County, Pennsylvania,"40,862"
13,Tioga,Tioga County,11,41467,Tioga County, Pennsylvania,"41,467"
65,Union,Union County,7,45565,Union County, Pennsylvania,"45,565"
50,Venango,Venango County,14,52582,Venango County, Pennsylvania,"52,582"
66,Warren,Warren County,10,40025,Warren County, Pennsylvania,"40,025"
9,Washington,Washington County,28,207981,Washington County, Pennsylvania,"207,981"
23,Wayne,Wayne County,10,50710,Wayne County, Pennsylvania,"50,710"
6,Westmoreland,Westmoreland County,54,355458,Westmoreland County, Pennsylvania,"355,458"
22,Wyoming,Wyoming County,5,27521,Wyoming County, Pennsylvania,"27,521"
44,York,York County,45,443744,York County, Pennsylvania,"443,744"
