Store_Number,Store_Name,Address,City,State_Zip
1096,Shoppes on Broadhead,2646 Brodhead Road Suite 4,Aliquippa, PA 15001
5914,Former CVS,1202 West Liberty St Unit EL and EZ,Allentown, PA 18102
1658,Parkway Shopping Center,1539 Lehigh St,Allentown, PA 18103
1552,Village West Shopping Center,3100 Tilghman Street..,Allentown, PA 18104
7710,Tilghman Square Square,4632 Broadway,Allentown, PA 18104
4535,Allentown,701 Hanover Avenue,Allentown, PA 18109
4790,Duncan Manor Shopping Center,1701 Duncan Ave Ste #10,Allison Park, PA 15101
7202,Frmr CVS,2860 Wildwood Road EXT,Allison Park, PA 15101
2163,Pleasant Valley Shopping Cente,3415 Pleasant Valley Blvd.,Altoona, PA 16602
7602,Former Drug Store,700 Valley View Blvd,Altoona, PA 16602
6170,Frmr Market,129 North Plaza,Apollo, PA 15613
4141,Audubon Village Shopping Cente,2826 Audubon Village Dr.,Audubon, PA 19403
207,Pennsylvania Northern Lights,1610 West State Street,Baden, PA 15005
1393,The Shoppes @ Crossroads,3578 Route 611 Suite 205,Bartonsville, PA 18321
2322,Chippewa Towne Center,260 Chippewa Towne Ctr.,Beaver Falls, PA 15010
547,TriCounty Plaza,800 Tri-County Plaza Unit# 310,Belle Vernon, PA 15012
1614,Street Road Plaza,2639 Street Rd,Bensalem, PA 19020
6130,Neshaminy Square,4201 Neshaminy Blvd.,Bensalem, PA 19020
7166,Freestander Market St,326 North Market St,Berwick, PA 18603
618,South Park Shops,5253 Library Road,Bethel Park, PA 15102
1673,Stefco Boulevard Shopping Cent,1838 Stefko Blvd.,Bethlehem, PA 18017
2063,Lehigh Shopping Center,2124 West Union Blvd.,Bethlehem, PA 18018
5679,Saucon Valley Square,3691 Rt. 378,Bethlehem, PA 18015
1557,KMart Plaza,3821 Nazareth Pike,Bethlehem, PA 18020
3677,Resort Plaza,202 Resort Plaza Drive,Blairsville, PA 15717
7056,Blandon Shopping Center,8472 Allentown Pike,Blandon, PA 19510
1909,Scott Town Plaza,1381 Columbia Blvd.,Bloomsburg, PA 17815
3011,Buckhorn Plaza,76 Lunger Dr. Ste 10,Bloomsburg, PA 17815
524,Larkins Corner,633 Conchester Hwy,Boothwyn, PA 19061
4891,Boyertown Shopping Center,823 E. Philadelphia Ave,Boyertown, PA 19512
2149,Bradford Mall,1001 East Main St,Bradford, PA 16701
