Store_Number,,Address,City,State_Zip
Family Dollar #6048,,929 Easton Rd,Abington, PA 19001 US
Family Dollar #11212,,100 E State Street,Albion, PA 16401 US
Family Dollar #11817,,123 N 9th Street,Allentown, PA 18102 US
Family Dollar #12035,,1735 South 4th Street,Allentown, PA 18103 US
Family Dollar #1051,,200 E Pleasant Valley Blvd,Altoona, PA 16602 US
Family Dollar #2589,,107 North Plaza,Apollo, PA 15613 US
Family Dollar #6575,,43 S Main St,Ashley, PA 18706 US
Family Dollar #1845,,1526 7th Ave,Beaver Falls, PA 15010 US
Family Dollar #5518,,607 Lincoln Ave,Bellevue, PA 15202 US
Family Dollar #719,,834 Main Street,Bentleyville, PA 15314 US
Family Dollar #4602,,1729 W Front Street,Berwick, PA 18603 US
Family Dollar #9353,,1319 West Broad St,Bethlehem, PA 18018 US
Family Dollar #8792,,3460 Biglerville Rd.,Biglerville, PA 17307 US
Family Dollar #11213,,126 East Main Street,Big Run, PA 15715 US
Family Dollar #4079,,248 Pa-940,Blakeslee, PA 18610 US
Family Dollar #7584,,1002 Atkinson Way,Boswell, PA 15531 US
Family Dollar #6347,,401 6th St(Pittsburgh),Braddock, PA 15104 US
Family Dollar #10736,,5150 Railroad Avenue,Broad Top City, PA 16621 US
Family Dollar #6533,,235 Allegheny Rd,Brookville, PA 15825 US
Family Dollar #1671,,1402 Main St,Burgettstown, PA 15021 US
Family Dollar #11826,,362 E High Street,Carlisle, PA 17013 US
Family Dollar #8446,,1706 Spring Rd.,Carlisle, PA 17013 US
Family Dollar #4708,,300 Broadway St,Carnegie, PA 15106 US
Family Dollar #10409,,3835 Lincoln Way West,Chambersburg, PA 17202 US
Family Dollar #11742,,1500 Edgmont Avenue,Chester, PA 19013 US
Family Dollar #1707,,1915 W 9th Street,Chester, PA 19013 US
Family Dollar #6601,,3100 W 9th St,Chester, PA 19013 US
Family Dollar #7304,,614 Avenue Of The States,Chester, PA 19013 US
Family Dollar #4774,,533 Miller Ave,Clairton, PA 15025 US
Family Dollar #7087,,1100 Old Town Rd,Clearfield, PA 16830 US
Family Dollar #10300,,444 Butler Street,Clintonville, PA 16372 US
Family Dollar #11095,,400 E Lincoln Highway,Coatesville, PA 19320 US
Family Dollar #7618,,1201 Foster Ave.,Crafton, PA 15205 US
Family Dollar #5380,,711 Second St,Cresson, PA 16630 US
Family Dollar #11761,,164 S Macdade Boulevard,Darby, PA 19023 US
Family Dollar #7479,,3842 Sr 31,Donegal, PA 15628 US
Family Dollar #6144,,989 North Eighty Eight Rd,Dry Tavern, PA 15357 US
Family Dollar #4675,,27 Duquesne Blvd.,Duquesne, PA 15110 US
Family Dollar #11437,,220 S German Steet,Dushore, PA 18614 US
Family Dollar #10262,,222 Water Street,East Brady, PA 16028 US
Family Dollar #4227,,254 Line St,Easton, PA 18042 US
Family Dollar #7577,,301 Northampton St,Easton, PA 18042 US
Family Dollar #11810,,450 W 8th Street,Erie, PA 16502 US
Family Dollar #1780,,155 E 12th St,Erie, PA 16501 US
Family Dollar #5910,,2307 State St,Erie, PA 16503 US
Family Dollar #8316,,2184 W 12th St.,Erie, PA 16505 US
Family Dollar #7975,,1070 Wyoming Avenue,Exeter, PA 18643 US
Family Dollar #10775,,10720 Path Valley Road,Fannettsburg, PA 17221 US
Family Dollar #1090,,701 Sharon New Castle Road,Farrell, PA 16121 US
Family Dollar #8662,,4015 Lincoln Way E,Fayetteville, PA 17222 US
Family Dollar #7336,,1132 3rd Avenue,Ford City, PA 16226 US
Family Dollar #12166,,128 North Lehigh Avenue,Frackville, PA 17931 US
Family Dollar #5956,,377 Grant St,Franklin, PA 16323 US
Family Dollar #9342,,183 South St.,Freeland, PA 18224 US
Family Dollar #11650,,642 Monongahela Avenue,Glassport, PA 15045 US
Family Dollar #1030,,118 South Antrim Way,Greencastle, PA 17225 US
Family Dollar #8097,,1564 Route 507,Greentown, PA 18426 US
Family Dollar #7738,,261 Main St,Greenville, PA 16125 US
Family Dollar #8870,,1030 Mountain View Plaza,Hallstead, PA 18822 US
Family Dollar #10554,,2304 North 3rd Street,Harrisburg, PA 17110 US
Family Dollar #11200,,932 South 13th Street,Harrisburg, PA 17104 US
Family Dollar #6719,,400 S Cameron St,Harrisburg, PA 17101 US
Family Dollar #9355,,1801 Derry Street,Harrisburg, PA 17104 US
Family Dollar #3856,,Rt 739,Hawley, PA 18428 US
Family Dollar #3310,,700 W Broad St,Hazleton, PA 18201 US
Family Dollar #7432,,30 Forest Drive,Hegins, PA 17938 US
Family Dollar #8745,,2121 Macdade Blvd.,Holmes, PA 19043 US
Family Dollar #10771,,25 Tanoma Road,Home, PA 15747 US
Family Dollar #10206,,996 Barn Street,Hooversville, PA 15936 US
Family Dollar #5890,,Us Route 53,Houtzdale, PA 16651 US
Family Dollar #2149,,7527 Huntingdon Plaza,Huntingdon, PA 16652 US
Family Dollar #7337,,719 Bedford St,Johnstown, PA 15902 US
Family Dollar #7724,,91 Central Avenue,Johnstown, PA 15902 US
Family Dollar #8991,,519 North Fraley St,Kane, PA 16735 US
Family Dollar #1596,,125 Market St,Kittanning, PA 16201 US
Family Dollar #11181,,420 North Franklin Street,Lancaster, PA 17602 US
Family Dollar #1855,,930 S Duke Street,Lancaster, PA 17602 US
Family Dollar #943,,700 E Patterson St,Lansford, PA 18232 US
Family Dollar #11300,,66 Main St.,Lawrenceville, PA 16929 US
Family Dollar #11771,,1034 Maple Street,Lebanon, PA 17046 US
Family Dollar #4041,,306 Cumberland St,Lebanon, PA 17042 US
Family Dollar #8452,,5479 Pottsville Pike,Leesport, PA 19533 US
Family Dollar #12230,,1625 Haines Road,Levittown, PA 19055 US
Family Dollar #11361,,1507 Market St,Linwood, PA 19061 US
Family Dollar #9294,,1080 Susquehanna Trail,Liverpool, PA 17045 US
Family Dollar #4988,,300 Bellefonte Ave,Lock Haven, PA 17745 US
Family Dollar #11302,,3545 Shermans Valley Road,Loysville, PA 17047 US
Family Dollar #10765,,585 Mahaffey Grampian Highway,Mahaffey, PA 15757 US
Family Dollar #11303,,139 West Centre Street,Mahanoy City, PA 17948 US
Family Dollar #10732,,174 Main Street,Markleysburg, PA 15459 US
